feature,dtype,non_null_count,null_count,completeness_pct,unique_values,mean,std,min,max
precip_CV,float64,192,0,100.0,192,0.948,0.2973,0.2098,1.9109
CDD,int64,192,0,100.0,84,46.5469,26.6035,3.0,129.0
precip_anomaly,float64,192,0,100.0,192,-0.0,0.1515,-0.3389,0.6402
hot_days_count,int64,192,0,100.0,3,36.8646,0.3861,35.0,37.0
R95p,float64,192,0,100.0,192,547.6237,267.3909,53.22,1680.41
PRECTOTCORR_annual_mean,float64,192,0,100.0,192,4.0377,2.5659,0.1985,13.4656
DTR_mean,float64,192,0,100.0,192,9.5438,3.6826,1.06,16.5312
temp_trend_slope,float64,192,0,100.0,192,0.0015,0.0115,-0.0273,0.0346
ALLSKY_SFC_SW_DWN_annual_mean,float64,192,0,100.0,192,18.1502,1.432,15.2941,21.4065
PRECTOTCORR_annual_total,float64,192,0,100.0,192,1474.762,937.1963,72.47,4914.96
Rx5day,float64,192,0,100.0,192,135.3239,73.0561,9.39,477.28
RH2M_annual_mean,float64,192,0,100.0,192,69.4401,15.1357,29.1465,91.9958
TNn,float64,192,0,100.0,184,6.7173,14.55,-33.9,25.05
T2M_annual_mean,float64,192,0,100.0,192,22.0931,8.2492,1.8569,30.4967
T2M_MAX_annual_mean,float64,192,0,100.0,192,27.2834,7.7518,8.723,36.207
TXx,float64,192,0,100.0,182,35.902,7.6151,16.9,48.59
T2M_MIN_annual_mean,float64,192,0,100.0,192,17.7396,9.0704,-4.5205,27.8014
HWDI,int64,192,0,100.0,28,10.8906,5.7298,2.0,35.0
WS2M_annual_mean,float64,192,0,100.0,192,1.9412,1.0848,0.1073,4.7918
WSDI,int64,192,0,100.0,17,6.5312,3.0612,2.0,18.0
total_reserves_usd,float64,189,3,98.4,189,77220648507.9583,120927091745.422,1896231717.1585,638484779930.836
gdp_growth_pct,float64,192,0,100.0,192,4.5993,4.3232,-20.7388,21.3905
population_total,float64,192,0,100.0,192,199315441.5521,351344507.6998,14053479.0,1438069596.0
gdp_per_capita_usd,float64,192,0,100.0,192,2307.3788,1615.8677,356.4962,7605.6966
poverty_headcount_190,float64,65,127,33.9,56,11.5569,11.284,0.0,38.0
employment_agriculture_pct,float64,192,0,100.0,192,38.7501,9.1653,22.0371,58.0653
gdp_yoy_change,float64,180,12,93.8,180,0.0577,0.0956,-0.3021,0.3857
total_idps_conflict,float64,0,192,0.0,0,,,,
agricultural_land_pct,float64,192,0,100.0,174,42.6493,14.5407,18.792,72.4437
gini_index,float64,65,127,33.9,53,35.7938,4.1015,25.5,46.5
life_expectancy,float64,192,0,100.0,191,69.4556,4.3196,56.364,77.606
co2_emissions_per_capita,float64,0,192,0.0,0,,,,
econ_vulnerability,float64,192,0,100.0,192,0.2801,0.1266,0.0,0.5515
hd_proxy,float64,192,0,100.0,192,0.7991,0.0724,0.5812,0.9465
health_expenditure_pct_gdp,float64,192,0,100.0,192,4.5343,2.9448,1.9508,23.0882
co2_emissions_kt,float64,0,192,0.0,0,,,,
population_density,float64,192,0,100.0,192,303.982,305.436,40.6032,1319.1798
arable_land_per_capita,float64,192,0,100.0,192,0.1308,0.0788,0.046,0.2943
education_expenditure_pct_gdp,float64,158,34,82.3,158,2.8634,1.0638,0.7874,4.8867
pop_pressure,float64,192,0,100.0,192,3.1965,3.218,-9.1902,16.1166
population_growth_pct,float64,192,0,100.0,192,1.1848,0.7953,-2.7997,4.0479
agriculture_value_added_pct_gdp,float64,192,0,100.0,192,17.767,7.2828,7.2562,40.2751
new_displacement_disasters,float64,189,3,98.4,160,1039271.1111,1835126.5192,240.0,11060000.0
access_electricity_pct,float64,192,0,100.0,132,84.7927,17.3334,25.6,100.0
access_basic_water_pct,float64,192,0,100.0,192,86.2051,11.4353,44.6538,100.0
urban_population_pct,float64,192,0,100.0,192,37.7802,13.5307,16.2762,66.5433
literacy_rate,float64,91,101,47.4,91,78.3437,17.0425,31.45,98.47
infrastructure_index,float64,192,0,100.0,192,0.855,0.1308,0.4353,1.0
new_displacement_conflict,float64,103,89,53.6,87,179026.4175,364169.8653,2.0,3000000.0
freshwater_withdrawal_pct_norm,float64,0,192,0.0,0,,,,
freshwater_withdrawal_pct,float64,0,192,0.0,0,,,,
cereal_yield_kg_ha_norm,float64,0,192,0.0,0,,,,
food_production_index,float64,0,192,0.0,0,,,,
cereal_yield_kg_ha,float64,0,192,0.0,0,,,,
food_production_index_norm,float64,0,192,0.0,0,,,,
child_mortality_rate,float64,0,192,0.0,0,,,,
land_below_5m_pct,float64,0,192,0.0,0,,,,
child_mortality_rate_norm,float64,0,192,0.0,0,,,,
composite_vulnerability,float64,0,192,0.0,0,,,,
count_glacial_lake_outburst_flood,float64,188,4,97.9,3,0.016,0.1627,0.0,2.0
count_extreme_temperature,float64,188,4,97.9,4,0.2287,0.5332,0.0,3.0
disaster_severity_index,float64,188,4,97.9,188,6.993,2.1722,1.7771,11.7941
count_mass_movement_(wet),float64,188,4,97.9,5,0.5904,0.8636,0.0,4.0
disaster_count,float64,188,4,97.9,24,6.5372,5.309,1.0,30.0
count_drought,float64,188,4,97.9,2,0.1436,0.3516,0.0,1.0
count_flood,float64,188,4,97.9,17,3.5585,3.4068,0.0,25.0
total_damage_usd_millions,float64,188,4,97.9,112,1313.2252,4333.2496,0.0,40317.0
total_affected,float64,188,4,97.9,187,5365176.4149,25704601.1349,0.0,346557559.0
count_storm,float64,188,4,97.9,14,1.9681,2.734,0.0,14.0
total_deaths,float64,188,4,97.9,153,1173.7074,10101.3806,0.0,138366.0
count_wildfire,float64,188,4,97.9,2,0.0319,0.1762,0.0,1.0
new_displacement,float64,122,70,63.5,98,151587.0492,340861.5402,0.0,3000000.0
