feature,xgb_importance,rf_importance,lgbm_importance,mean_importance
new_displacement_disasters_yoy_change,0.034723133,0.03914964222011923,118,39.35795759168962
new_displacement_disasters_roll3_mean,0.092996374,0.1016556579260924,89,29.731550677232903
new_displacement_disasters_regional_deviation,0.36170545,0.10652370775903446,65,21.82274305332093
total_affected,0.024961669,0.0613586905957442,64,21.362106786531246
Rx5day,0.030608319,0.007348719318457261,53,17.679319012688183
precip_anomaly,0.0029274249,0.0043644602907798894,51,17.00243062838086
new_displacement_disasters_lag1,0.0027122693,0.013359615362160678,49,16.338690628225265
new_displacement_disasters_lag2,0.0016207207,0.021805867118287935,38,12.674475529280334
PRECTOTCORR_annual_total_roll3_std,0.010829896,0.0044018831110099,38,12.671743926281932
T2M_annual_mean_roll3_std,0.00267956,0.01020778661334837,33,11.004295782238003
T2M_annual_mean_lag2,0.00043190652,0.0030698163213550675,30,10.00116724094686
CDD,0.0033997006,0.00463435784145765,29,9.669344686155442
T2M_annual_mean_yoy_change,0.00067501655,0.003965755603873285,29,9.668213590717452
disaster_severity_index,0.16980724,0.07258872927811284,28,9.414131989881684
precip_CV,0.00088017277,0.005996777296290248,28,9.335625650021166
population_growth_pct,0.0006413323,0.007743595262661535,27,9.002794975853881
pop_pressure,0.010995241,0.036006419875363314,24,8.015667220252467
life_expectancy,0.010350529,0.003095221355015464,24,8.00448191681983
T2M_MIN_annual_mean,0.00090318377,0.006329705912123172,24,8.00241096322703
T2M_annual_mean_lag1,0.0022682936,0.007475581513708802,22,7.336581291717785
hd_proxy,0.000992857,0.005243945264943028,22,7.335412267433708
total_damage_usd_millions,0.0013029322,0.048699215229003424,21,7.016667382461751
disaster_count,0.004632093,0.016006844996765072,21,7.006879646003033
R95p,0.002176247,0.006351549398832767,21,7.0028425988234355
TXx,0.0022484807,0.009482545303895792,20,6.670577008662363
CESI_yoy_change,0.002631891,0.0033168356160087602,20,6.668649575556393
PRECTOTCORR_annual_mean,0.0015079115,0.003958455687844621,20,6.668488789056579
education_expenditure_pct_gdp,0.0015824819,0.002551892415961344,18,6.001378124771443
gdp_per_capita_usd_lag3,0.0020508051,0.003600617865341339,17,5.668550474334588
gdp_yoy_change,0.0026865893,0.002889862776017834,17,5.66852548401127
agriculture_value_added_pct_gdp,0.0012180615,0.003803510539580926,17,5.668340524028171
RH2M_annual_mean,0.0053836317,0.0052730304137457995,16,5.336885554031302
CESI_roll3_std,0.0042669442,0.0042032159536695935,16,5.3361567200673
temp_trend_slope,0.0028922863,0.0041757450148979655,15,5.002356010432931
DTR_mean,0.00057201786,0.0048319451423919505,14,4.668467987667353
drought_stress,0.012479737,0.004608861475930685,13,4.339029532958979
T2M_annual_mean_roll3_mean,6.823991e-05,0.00584686970228483,13,4.335305036537876
gdp_per_capita_usd_lag1,0.00053404766,0.004658622533512999,13,4.335064223399064
CESI_lag3,0.0016783697,0.002503367649018983,13,4.334727245785172
population_density,0.014660274,0.018004491603438443,12,4.010888255094013
population_total,0.00752289,0.020890871112093597,12,4.009471253663565
gdp_per_capita_usd,0.0044394084,0.005002682310824885,12,4.003147363578688
new_displacement_disasters_roll3_std,0.024353882,0.045264662816102405,11,3.689872848371325
climate_density_pressure,0.0037293613,0.010253855659187924,11,3.671327739000485
employment_agriculture_pct,0.0072952323,0.002096872908198103,11,3.669797368391462
access_basic_water_pct,0.0018489818,0.007458267120991212,11,3.669769082984382
access_electricity_pct,0.00036465866,0.0021761438860340913,11,3.667513600847211
count_storm,0.00043796084,0.013742478331312365,10,3.338060146391623
PRECTOTCORR_annual_total_roll3_mean,0.0039222967,0.007512453447710216,9,3.003811583378557
ALLSKY_SFC_SW_DWN_annual_mean,0.002450062,0.004819284656520301,9,3.0024231155395094
PRECTOTCORR_annual_total_lag3,0.0032237563,0.0036965484341452137,9,3.002306768254124
PRECTOTCORR_annual_total_lag2,0.0025181377,0.0037796481496901856,9,3.002099261944594
total_reserves_usd,0.0019220911,0.016387920990943158,8,2.6727700040369555
arable_land_per_capita,0.0056062015,0.010995915913484255,8,2.6722007057969446
T2M_annual_mean,0.0014063496,0.011264548044527459,8,2.6708902992118357
agricultural_land_pct,0.0036823242,0.008030167954347694,8,2.6705708307171636
gdp_per_capita_usd_regional_deviation,0.0029229538,0.017884985183697376,7,2.3402693129962175
new_displacement_disasters_lag3,0.003812389,0.008753228413090333,7,2.337521872465238
PRECTOTCORR_annual_total_lag1,0.00017464276,0.0043823440728543595,7,2.3348523289438825
gdp_per_capita_usd_lag2,0.007626142,0.003951158789233128,6,2.0038591002254638
CESI_lag2,0.008623716,0.0023355680837256324,6,2.0036530948350504
CESI_regional_deviation,0.004610165,0.002914918684643978,6,2.0025083612356522
total_displaced,0.0017150197,0.0028321156355359217,6,2.001515711776688
count_extreme_temperature,0.0039669173,0.0003844968887020928,6,2.001450471390845
total_deaths,0.004076508,0.016297000688231592,5,1.6734578361873549
health_expenditure_pct_gdp,0.000852438,0.009237132260186642,5,1.6700298567470417
T2M_annual_mean_lag3,0.002254769,0.006585049778109501,5,1.6696132729171087
gdp_growth_pct,0.00392155,0.0027711864346782835,5,1.6688975787339781
gdp_per_capita_usd_yoy_change,0.0006291863,0.0034047233390761393,5,1.6680113032066932
count_flood,0.00044344357,0.00320558079446635,5,1.6678830081210407
econ_vulnerability,0.0012296332,0.0019245256389050789,5,1.6677180529556088
urban_population_pct,0.0059822258,0.003228763977589678,4,1.3364036632461358
infra_climate_vulnerability,0.0008527489,0.0040362346100927616,4,1.3349629945121186
HWDI,0.0017854073,0.002379825055208508,4,1.3347217441212325
count_mass_movement_(wet),0.010508643,0.0016229766393619559,3,1.0040438733675388
TNn,0.001291526,0.004013901158428129,3,1.0017684757247587
climate_economic_stress,0.00029352697,0.0018881625601047136,3,1.0007272298444048
WS2M_annual_mean,0.0022270374,0.004639866389768822,2,0.668955634612114
CESI_lag1,0.0017134813,0.003414399728151094,2,0.6683759603314009
infrastructure_index,0.00013779805,0.0022024252024250486,2,0.6674467410846692
CESI_roll3_mean,0.001309695,0.004232497939787495,1,0.335180730964971
PRECTOTCORR_annual_total,5.4959073e-06,0.004988378152882721,1,0.33499795802006654
climate_agriculture_risk,0.0018020895,0.0027123994021018825,1,0.33483816296993113
new_displacement,0.0014662887,0.002074598857656468,1,0.334513629184877
CESI,0.0027216717,0.0036902406657253243,0,0.0021373041264138135
T2M_MAX_annual_mean,0.0006947671,0.00465905550225208,0,0.0017846075361921713
CESI_regional_rank,0.0046536517,0.0006506696447167829,0,0.0017681071258893951
new_displacement_rounded,0.0020528128,0.003102476603818689,0,0.0017184298136276518
count_wildfire,0.0035956677,0.0,0,0.001198555886124571
WSDI,0.0013788524,0.0020298268565726147,0,0.0011362264216506436
new_displacement_conflict,0.00036168887,0.002790092937897709,0,0.0010505939365109444
count_drought,0.0013644805,0.0002588955405779274,0,0.0005411253372721404
hot_days_count,0.00053409196,5.456099554839254e-05,0,0.00019621765175194383
log_displacement,0.0,0.0,0,0.0
count_glacial_lake_outburst_flood,0.0,0.0,0,0.0
